"2020-001","2020-001-01","2020-001-01-01","2020-001-01-01-01",12/14/2020,1,,"141 S. Ct. 509","208 L. Ed. 2d 343","2020 U.S. LEXIS 6091",2020,1709,"Roberts","22O65","TEXAS v. NEW MEXICO",10/5/2020,,28,51,28,36,9,,,0,,,,,,1,,,1,9,0,0,0,0,110020,11,3,0,3,,5,510,,116,111,1,7,1
"2020-002","2020-002-01","2020-002-01-01","2020-002-01-01-01",12/10/2020,1,,"141 S. Ct. 493","208 L. Ed. 2d 305","2020 U.S. LEXIS 5990",2020,1709,"Roberts","19-309","CARNEY v. ADAMS",10/5/2020,,19,9,145,,1,,,0,54,,23,,0,12,6,2,1,5,0,1,0,0,90220,9,1,,2,,1,139,,110,111,1,8,0
"2020-003","2020-003-01","2020-003-01-01","2020-003-01-01-01",12/10/2020,1,,"141 S. Ct. 486","208 L. Ed. 2d 295","2020 U.S. LEXIS 5987",2020,1709,"Roberts","19-71","TANZIN v. TANVIR",10/6/2020,,19,60,130,,1,,,0,96,,22,,1,12,3,2,1,2,0,0,0,0,30160,3,2,,4,,3,361,,108,111,1,8,0
"2020-004","2020-004-01","2020-004-01-01","2020-004-01-01-01",12/10/2020,1,,"141 S. Ct. 474","208 L. Ed. 2d 327","2020 U.S. LEXIS 5988",2020,1709,"Roberts","18-540","RUTLEDGE v. PHARMACEUTICAL CARE MANAGEMENT ASSOCIATION",10/6/2020,,7,5,144,,1,,,,46,,28,,0,12,2,1,1,4,0,1,0,0,100030,10,2,,4,,3,323,,113,111,1,8,0
"2020-005","2020-005-01","2020-005-01-01","2020-005-01-01-01",3/25/2021,1,,"141 S. Ct. 1017","209 L. Ed. 2d 225","2021 U.S. LEXIS 1610",2020,1709,"Roberts","19-368","FORD MOTOR COMPANY v. MONTANA EIGHTH JUDICIAL DISTRICT COURT",10/7/2020,,189,,208,,1,,,0,302,31,300,31,0,11,2,2,1,2,0,0,0,0,40060,4,2,0,2,,2,230,,114,111,1,8,0
"2020-006","2020-006-01","2020-006-01-01","2020-006-01-01-01",4/5/2021,1,,"141 S. Ct. 1163","209 L. Ed. 2d 311","2021 U.S. LEXIS 1864",2020,1709,"Roberts","18-956","GOOGLE LLC v. ORACLE AMERICA INC.",10/7/2020,,133,,133,,1,,,0,50,,8,,0,11,4,1,1,4,0,1,0,0,80190,8,2,0,4,,6,600,"17 U.S.C. 107",110,111,1,6,2
"2020-007","2020-007-01","2020-007-01-01","2020-007-01-01-01",1/14/2021,1,,"141 S. Ct. 585","208 L. Ed. 2d 384","2021 U.S. LEXIS 496",2020,1709,"Roberts","19-357","CITY OF CHICAGO, ILLINOIS v. FULTON",10/13/2020,,3,17,138,,1,,,0,20,,27,,0,2,2,2,1,5,0,1,0,0,80030,8,1,,4,,3,307,,112,111,1,8,0
"2020-008","2020-008-01","2020-008-01-01","2020-008-01-01-01",12/10/2020,1,,"141 S. Ct. 467","208 L. Ed. 2d 318","2020 U.S. LEXIS 5989",2020,1709,"Roberts","19-108","UNITED STATES. v. BRIGGS",10/13/2020,,27,,186,,1,,,0,,,4,,0,12,3,2,1,4,0,1,0,0,10570,1,1,,4,,3,377,,112,111,1,8,0
"2020-009","2020-009-01","2020-009-01-01","2020-009-01-01-01",3/25/2021,1,,"141 S. Ct. 989","209 L. Ed. 2d 190","2021 U.S. LEXIS 1611",2020,1709,"Roberts","19-292","TORRES v. MADRID",10/14/2020,,208,,19,36,1,,,0,93,,30,,0,12,2,1,1,5,0,1,0,0,10050,1,2,0,2,,2,205,,111,111,1,5,3
"2020-010","2020-010-01","2020-010-01-01","2020-010-01-01-01",3/4/2021,1,,"141 S. Ct. 754","209 L. Ed. 2d 47","2021 U.S. LEXIS 1278",2020,1709,"Roberts","19-438","PEREIDA v. WILKINSON",10/14/2020,,106,,1,,1,7,,0,28,,28,,,2,9,1,1,2,0,0,0,0,20110,2,1,0,4,,3,344,,115,111,1,5,3
